51725,2024-10-16,В России вырос спрос на тарологов и астрологов,null,<p>Вакансии вызывают нешуточный интерес у соискателей.</p>,https://kudago.com/all/news/v-rossii-vyiros-spros-tarologov-i/,0,0,0.5
51723,2024-10-15,В Петербурге восстанавливают музей Михаила Лермонтова,null,<p>Он находился в здании лицея № 280.</p>,https://kudago.com/spb/news/v-peterburge-vosstanavlivayut/,0,0,0.5
51722,2024-10-15,Райану Рейнольдсу и Хью Джекману предложили стать ведущими «Оскара»,null,<p>Приглашение получили ещё несколько звёзд.</p>,https://kudago.com/all/news/rajanu-rejnoldsu-i-hyu-dzhekmanu/,0,0,0.5
51721,2024-10-15,Над Россией летит самая яркая комета за 13 лет,null,<p>Она видна невооружённым глазом.</p>,https://kudago.com/all/news/nad-rossiej-proletaet-samaya/,0,0,0.5
51720,2024-10-15,Вход в Эрмитаж стал бесплатным для членов многодетных семей,null,<p>Льготные билеты доступны на сайте.</p>,https://kudago.com/spb/news/vhod-v-ermitazh-stal-besplatnyim-dlya-mnogodetnyh-semej/,0,0,0.5
51718,2024-10-15,В Выборгском замке появился бронзовый кот Филимон,null,<p>Он одет в пальто.</p>,https://kudago.com/spb/news/v-vyiborgskom-zamke-poyavilsya/,0,0,0.5
51716,2024-10-15,Спектакль окончен: рецензия на фильм «Джокер: Безумие на двоих»,null,<p>В мировой прокат вышел сиквел <a href="https://kudago.com/all/news/malchishnik-v-goteme-ili/" target="_blank" title="Рецензия на фильм «Джокер»">«Джокера»</a> с подзаголовком «Безумие на двоих». Продолжение мрачного хита о злодее представляет собой невнятный микс мюзикла и судебной драмы. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-dzhoker-bezumie-na-dvoih/,0,0,0.5
51714,2024-10-15,Грибники из Петербурга и Ленобласти хвастаются полными корзинами,null,<p>Заморозки тихой охоте не помеха.</p>,https://kudago.com/spb/news/gribniki-iz-peterburga-i/,0,0,0.5
51713,2024-10-15,Роман с призраком: рецензия на фильм «Сидони в Японии»,null,<p>Кинопрокат радует фестивальными новинками. На этот раз на больших экранах можно увидеть ленту с недавнего Венецианского кинофестиваля — фильм Элиз Жирар с Изабель Юппер, Цуёси Ихара и Аугустом Дилем в главных ролях. Медленная драма о скорби и спокойной любви — то, что нужно этой осенью. О прелестях и тонкостях этой чудесной работы читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-sidoni-v-yaponii/,0,0,0.5
51633,2024-10-07,Шоу «Натальная карта» запустило сервис с предсказаниями,null,<p>Можно составить свою натальную карту и проверить совместимость. </p>,https://kudago.com/all/news/shou-natalnaya-karta-zapustilo/,0,0,0.5
51632,2024-10-07,Энн Хэтэуэй подтвердила участие в третьей части «Дневников принцессы»,null,<p>Её снимет женщина-режиссёр.</p>,https://kudago.com/all/news/enn-heteuej-podtverdila-uchastie/,0,0,0.5
